Time,Open,High,Low,Last,Change,Volume
04/16/2018,59.8,59.932,57.802,58.242,-1.826,31692000
04/13/2018,60.72,60.79,59.196,60.068,1.252,36636000
04/12/2018,60.464,60.79,58.736,58.816,-1.37,38043500
04/11/2018,60.148,61.796,59.932,60.186,-0.754,37414500
04/10/2018,59.794,61.42,58.736,60.94,3.008,55121000
04/09/2018,60.074,61.9,57.842,57.932,-1.928,51249000
04/06/2018,60.2,61.856,59.1,59.86,-1.284,67601000
04/05/2018,57.868,61.252,57.64,61.144,3.756,95605496
04/04/2018,50.556,57.674,50.4,57.388,3.882,99483496
04/03/2018,53.964,54.67,50.898,53.506,3.01,94221496
04/02/2018,51.252,52.066,48.918,50.496,-2.73,80569496
03/29/2018,51.298,54.192,49.642,53.226,1.67,75853496
03/28/2018,52.916,53.736,50.42,51.556,-4.28,105007000
03/27/2018,60.8,60.854,55.436,55.836,-5,69360000
03/26/2018,61.468,61.518,58.272,60.836,0.528,41875500
03/23/2018,62.25,62.322,60.09,60.308,-1.512,33274000
03/22/2018,62.778,63.764,61.636,61.82,-1.486,24698500
03/21/2018,62.05,64.488,62.038,63.306,1.196,29792000
03/20/2018,62.974,63.25,61.752,62.11,-0.602,23821000
03/19/2018,63.3,64.15,61.934,62.712,-1.558,37421000
03/16/2018,65.192,65.48,63.814,64.27,-0.85,30586000
03/15/2018,65.876,66.57,64.22,65.12,-0.206,32824000
03/14/2018,67.35201,67.962,64.786,65.326,-3.042,39836500
03/13/2018,68.984,69.024,67.25201,68.368,-0.73401,29829000
03/12/2018,65.722,69.442,65.3,69.10201,3.668,41320000
03/09/2018,64.82,65.698,64.474,65.43401,-0.38599,27533500
03/08/2018,66.572,66.66,65.254,65.82,-0.64,17831000
03/07/2018,65.08801,66.5,64.348,66.46,0.81999,25036000
03/06/2018,66.75,67.274,65.406,65.64001,-1.03,21428500
03/05/2018,66.478,67.55,65.858,66.67001,-0.35399,19118500
03/02/2018,65.396,67.044,64.594,67.024,0.838,25464000
03/01/2018,69.00201,69.734,66.014,66.186,-2.426,34428000
02/28/2018,70.514,71.048,68.444,68.612,-1.586,30348000
02/27/2018,71.25,71.998,70.00201,70.198,-1.286,23987000
02/26/2018,70.7,71.8,70.471,71.484,1.074,21699500
02/23/2018,69.566,70.998,69.42001,70.41,1.176,29086500
02/22/2018,67.106,69.488,66.95,69.234,2.574,34849000
02/21/2018,67.206,67.938,66.634,66.66,-0.294,16098000
02/20/2018,66.894,68.168,66.3,66.954,-0.144,20047000
02/16/2018,66.5,68.624,66.328,67.098,0.285,28213000
02/15/2018,64.9,66.824,64.48,66.813,2.351,29564500
02/14/2018,64.168,65.234,63.704,64.462,-0.27,19753500
02/13/2018,63.004,64.83801,62.502,64.732,1.586,22801000
02/12/2018,63.226,63.616,61.25,63.146,1.062,31139000
02/09/2018,63.986,64.19601,58.952,62.084,-0.962,64668500
02/08/2018,68.662,69.724,62.92,63.046,-5.954,51572500
02/07/2018,67.798,69.2,67.132,69,2.206,34846000
02/06/2018,65.042,67.244,64.7,66.794,0.168,25442000
02/05/2018,67.594,68.894,66.6,66.626,-2.124,22320500
02/02/2018,69.688,70.39001,68.10201,68.75,-1.1,18524000
02/01/2018,70.2,71.932,69.72601,69.85,-1.012,20988000
01/31/2018,69.50201,71.238,69.038,70.862,1.698,31070000
01/30/2018,69.02801,69.654,68.43401,69.164,-0.742,23588500
01/29/2018,67.97,70.17001,67.656,69.906,1.336,23735500
01/26/2018,68.3,68.8,67.142,68.57,1.04199,22696500
01/25/2018,69.654,69.84,67.28,67.52801,-1.64999,33701500
01/24/2018,70.916,70.95,68.704,69.178,-1.38001,26437000
01/23/2018,72,72.1,70.2,70.55801,0.24601,27327000
01/22/2018,69.88,71.566,69.84,70.312,0.308,31051500
01/19/2018,69,70.118,68.52,70.004,1.09,24441500
01/18/2018,69.134,70.46,68.748,68.914,-0.518,28429000
01/17/2018,68.094,69.8,67.95,69.432,1.42,35517500
01/16/2018,67.508,69,66.96,68.012,0.768,32371000
01/12/2018,67.72601,68.082,66.734,67.244,-0.346,24125000
01/11/2018,67.048,68.962,66.652,67.59,0.63,33227000
01/10/2018,66.44,67.4,66,66.96,0.222,21549500
01/09/2018,67.03201,67.76,65.481,66.738,-0.54401,35733000
01/08/2018,63.2,67.404,63.1,67.28201,3.96601,49297000
01/05/2018,63.324,63.448,62.4,63.316,0.392,22955500
01/04/2018,62.574,63.71,61.136,62.924,-0.526,49731500
01/03/2018,64.2,65.05,63.11,63.45,-0.656,22607500
01/02/2018,62.4,64.422,62.2,64.106,1.836,21761000
12/29/2017,63.236,63.282,62,62.27,-0.802,18885500
12/28/2017,62.35,63.164,61.908,63.072,0.744,21581500
12/27/2017,63.2,63.536,62.15,62.328,-1.13,23560500
12/26/2017,64.766,64.788,63.316,63.458,-1.582,21892000
12/22/2017,65.902,66.18401,64.964,65.04,-1.292,21079000
12/21/2017,65.918,66.748,65.442,66.332,0.53599,21926000
12/20/2017,66.538,66.62,65.008,65.79601,-0.42399,29769000
12/19/2017,68.052,68.298,66.06,66.22,-1.554,34124500
12/18/2017,68.98,69.346,67.516,67.774,-0.916,27380500
12/15/2017,68.408,68.78,67.152,68.69,1.112,34665500
12/14/2017,68.202,69.488,67.38,67.578,-0.228,28999500
12/13/2017,68.186,68.844,67.3,67.806,-0.4,31107000
12/12/2017,66.09,68.288,66.006,68.206,2.42399,43665500
12/11/2017,62.926,65.802,62.75,65.78201,2.75601,39689500
